encoded_destination_id,destination_movement_id,destination_display_name
1395,4931,201462 (4931)
1396,4934,405962 (4934)
1397,4935,201442 (4935)
1398,4936,201472 (4936)
1399,4939,201401 (4939)
1400,4940,201481 (4940)
1401,4954,201434 (4954)
1402,4955,201432 (4955)
1403,4956,201444 (4956)
1404,4958,201402 (4958)
1405,4959,201503 (4959)
1406,4961,201452 (4961)
1407,4962,201482 (4962)
1408,4966,201431 (4966)
1409,4970,201473 (4970)
1410,4974,201475 (4974)
1411,4975,201483 (4975)
1412,4980,201421 (4980)
1413,4984,201495 (4984)
1414,4990,201445 (4990)
1415,4991,201494 (4991)
1416,4995,201491 (4995)
1417,5002,201492 (5002)
1418,5004,405930 (5004)
1419,5012,201493 (5012)
1420,5013,201435 (5013)
1421,5014,201512 (5014)
1422,5020,201541 (5020)
1423,5021,405931 (5021)
1424,5029,201511 (5029)
1425,5038,201502 (5038)
1426,5039,201553 (5039)
1427,5040,201403 (5040)
1428,5043,201554 (5043)
1429,5068,201414 (5068)
1430,5069,201411 (5069)
1431,5076,405920 (5076)
1432,5078,201551 (5078)
1433,5086,201542 (5086)
1434,5087,201552 (5087)
1435,5092,201522 (5092)
1436,5102,201524 (5102)
1437,5109,201531 (5109)
1438,5114,201561 (5114)
1439,5121,201572 (5121)
1440,5129,201562 (5129)
1441,5130,405956 (5130)
1442,5134,201643 (5134)
1443,5135,201659 (5135)
1444,5138,201521 (5138)
1445,5145,201413 (5145)
1446,5146,201532 (5146)
1447,5151,201412 (5151)
1448,5153,201573 (5153)
1449,5154,405832 (5154)
1450,5156,405821 (5156)
1451,5158,405831 (5158)
1452,5159,201581 (5159)
1453,5160,201644 (5160)
1454,5161,201662 (5161)
1455,5162,405952 (5162)
1456,5164,201642 (5164)
1457,5165,201621 (5165)
1458,5166,201582 (5166)
1459,5167,201645 (5167)
1460,5175,201637 (5175)
1461,5180,201638 (5180)
1462,5183,201641 (5183)
1463,5185,201639 (5185)
1464,5186,405833 (5186)
1465,5187,405822 (5187)
1466,5191,20163A (5191)
1467,5195,201622 (5195)
1468,5198,201631 (5198)
1469,5200,201746 (5200)
1470,5202,201634 (5202)
1471,5204,201632 (5204)
1472,5205,201661 (5205)
1473,5210,201636 (5210)
1474,5211,201633 (5211)
1475,5215,201663 (5215)
1476,5221,405811 (5221)
1477,5223,201701 (5223)
1478,5238,201594 (5238)
1479,5239,201673 (5239)
1480,5242,201702 (5242)
1481,5245,201681 (5245)
1482,5247,201601 (5247)
1483,5249,405761 (5249)
1484,5251,201674 (5251)
1485,5259,201711 (5259)
1486,5261,201675 (5261)
1487,5263,201676 (5263)
1488,5265,201682 (5265)
1489,5266,201683 (5266)
1490,5270,201677 (5270)
1491,5271,405812 (5271)
1492,5272,405770 (5272)
1493,5274,201721 (5274)
1494,5275,201691 (5275)
1495,5282,201592 (5282)
1496,5283,201684 (5283)
1497,5285,201712 (5285)
1498,5286,201602 (5286)
1499,5287,201713 (5287)
1500,5288,201591 (5288)
1501,5292,201789 (5292)
1502,5293,201722 (5293)
1503,5294,405782 (5294)
1504,5295,201821 (5295)
1505,5299,201692 (5299)
1506,5300,201723 (5300)
1507,5303,201785 (5303)
1508,5306,201727 (5306)
1509,5307,201725 (5307)
1510,5309,405713 (5309)
1511,5310,201728 (5310)
1512,5312,201771 (5312)
1513,5313,201784 (5313)
1514,5314,201814 (5314)
1515,5315,201731 (5315)
1516,5317,20172A (5317)
1517,5318,201781 (5318)
1518,5319,201782 (5319)
1519,5320,201774 (5320)
1520,5324,201724 (5324)
1521,5326,201772 (5326)
1522,5327,201773 (5327)
1523,5328,201783 (5328)
1524,5329,201729 (5329)
1525,5333,201791 (5333)
1526,5337,405783 (5337)
1527,5338,405711 (5338)
1528,5339,201764 (5339)
1529,5341,201831 (5341)
1530,5342,201761 (5342)
1531,5343,201815 (5343)
1532,5344,201792 (5344)
1533,5345,201822 (5345)
1534,5346,201793 (5346)
1535,5347,201762 (5347)
1536,5349,201832 (5349)
1537,5350,201811 (5350)
1538,5352,201794 (5352)
1539,5353,201823 (5353)
1540,5355,201933 (5355)
1541,5356,201821 (5356)
1542,5357,201833 (5357)
1543,5358,201812 (5358)
1544,5359,201955 (5359)
1545,5362,201801 (5362)
1546,5363,201931 (5363)
1547,5364,201932 (5364)
1548,5367,201971 (5367)
1549,5369,201813 (5369)
1550,5370,201951 (5370)
1551,5371,201802 (5371)
1552,5372,201834 (5372)
1553,5373,405793 (5373)
1554,5374,201803 (5374)
1555,5375,405700 (5375)
1556,5376,405792 (5376)
1557,5377,201941 (5377)
1558,5378,201837 (5378)
1559,5379,201835 (5379)
1560,5380,201841 (5380)
